counties,Homicide,Offences Against The Person,Sexual Offences,Burglary,Robbery,Theft And Handling,Fraud And Forgery ,Criminal Damage,Drugs Offences,Public Order Offences,All Other Offences (excluding Motoring),Motoring Offences ,Date
North Wales,1,161,16,22,3,139,7,45,59,65,12,78,28/02/2015
North Yorkshire,1,102,9,22,3,144,7,34,35,64,28,112,28/02/2015
Nottinghamshire,1,233,18,23,9,273,17,63,123,78,51,172,28/02/2015
South Wales,1,339,26,44,12,300,17,69,169,167,14,643,28/02/2015
South Yorkshire,5,227,9,49,10,283,11,64,87,99,24,141,28/02/2015
Staffordshire,0,157,10,31,7,196,14,40,66,75,21,186,28/02/2015
Suffolk,0,110,6,9,2,135,8,42,66,66,9,87,28/02/2015
Surrey,0,111,10,16,1,83,11,20,67,41,32,132,28/02/2015
Sussex,0,261,25,34,2,241,23,60,97,89,40,225,28/02/2015
Thames Valley,3,300,35,40,11,330,32,62,133,121,34,235,28/02/2015
Warwickshire,2,60,10,7,5,65,4,12,12,25,14,85,28/02/2015
West Mercia,0,206,13,23,1,164,17,27,61,67,25,139,28/02/2015
West Midlands,0,461,41,79,42,647,35,88,216,137,132,310,28/02/2015
West Yorkshire,4,466,42,78,24,378,22,104,116,115,52,302,28/02/2015
Wiltshire,0,108,9,6,0,94,3,33,26,59,5,66,28/02/2015
Avon and Somerset,0,277,54,49,5,338,23,74,94,124,72,244,31/03/2015
Bedfordshire,0,125,4,17,7,106,11,15,47,49,18,74,31/03/2015
Cambridgeshire,0,110,6,15,3,108,7,22,46,32,9,71,31/03/2015
Cheshire,0,193,14,33,11,185,20,32,117,63,68,110,31/03/2015
Cleveland,0,136,14,29,4,284,11,37,76,111,15,86,31/03/2015
Cumbria,1,96,12,14,0,95,7,33,55,51,58,114,31/03/2015
Derbyshire,0,160,34,39,11,201,14,54,73,52,32,99,31/03/2015
Devon and Cornwall,2,205,12,40,14,183,18,71,108,61,89,186,31/03/2015
Dorset,0,105,11,14,2,103,6,28,40,35,9,77,31/03/2015
Durham,0,128,9,34,3,157,7,45,28,59,6,88,31/03/2015
Dyfed Powys,1,64,8,10,0,51,6,14,69,31,2,68,31/03/2015
Essex,0,294,38,45,12,233,23,73,109,51,36,222,31/03/2015
Gloucestershire,0,74,4,27,5,74,6,22,35,9,26,61,31/03/2015
GreaterManchester,3,700,52,91,33,473,43,140,207,267,47,373,31/03/2015
Gwent,2,111,11,12,6,119,8,41,49,66,3,77,31/03/2015
Hampshire,3,299,40,41,11,287,12,67,113,107,26,227,31/03/2015
Hertfordshire,0,208,11,21,10,182,8,28,81,57,18,167,31/03/2015
Humberside,1,193,23,36,11,237,14,49,66,80,20,123,31/03/2015
Kent,0,267,33,68,15,324,25,67,99,82,77,202,31/03/2015
Lancashire,2,323,22,76,20,449,25,104,122,162,115,327,31/03/2015
Leicestershire,0,176,12,33,10,174,19,40,44,40,20,128,31/03/2015
Lincolnshire,1,107,0,13,3,96,9,26,36,55,14,139,31/03/2015
Merseyside,4,318,34,45,8,298,14,63,243,112,112,183,31/03/2015
Norfolk,0,203,6,18,6,143,4,53,54,106,12,118,31/03/2015
Northamptonshire,0,122,9,18,6,137,7,37,40,45,19,120,31/03/2015
Northumbria,2,254,25,55,10,460,24,113,108,243,73,248,31/03/2015
North Wales,0,142,16,28,5,136,8,28,36,86,15,86,31/03/2015
North Yorkshire,0,112,1,23,3,130,14,36,40,55,24,130,31/03/2015
Nottinghamshire,0,234,14,25,9,248,11,89,113,96,44,141,31/03/2015
South Wales,1,323,17,51,10,281,15,86,119,145,8,658,31/03/2015
South Yorkshire,0,236,10,57,17,338,15,82,96,98,34,157,31/03/2015
Staffordshire,2,225,14,42,10,219,11,58,88,78,33,156,31/03/2015
Suffolk,0,139,8,16,1,98,5,38,37,52,7,107,31/03/2015
Surrey,0,162,7,13,4,93,13,23,64,48,22,121,31/03/2015
Sussex,1,270,30,30,10,224,27,65,91,83,63,228,31/03/2015
Thames Valley,2,381,45,47,15,321,29,66,142,127,26,258,31/03/2015
Warwickshire,0,66,5,9,2,73,6,10,26,16,25,81,31/03/2015
West Mercia,5,223,22,19,7,189,11,46,42,52,35,146,31/03/2015
West Midlands,2,513,38,84,46,683,31,120,208,152,135,335,31/03/2015
West Yorkshire,8,470,51,61,22,447,34,102,152,145,56,314,31/03/2015
Wiltshire,1,139,15,7,3,105,5,28,39,63,5,71,31/03/2015
Avon and Somerset,3,262,50,24,11,269,15,82,96,86,56,205,30/04/2015
Bedfordshire,0,81,3,14,14,54,10,12,31,23,15,51,30/04/2015
Cambridgeshire,0,115,6,16,2,87,10,20,50,61,15,87,30/04/2015
Cheshire,1,177,18,25,1,149,9,24,95,48,65,105,30/04/2015
Cleveland,1,127,9,26,9,285,8,50,84,77,8,69,30/04/2015
Cumbria,0,100,5,10,0,94,5,27,40,42,56,95,30/04/2015
Derbyshire,0,166,7,13,4,120,12,44,63,72,26,107,30/04/2015
Devon and Cornwall,0,169,5,22,1,148,3,49,63,39,78,150,30/04/2015
Dorset,0,101,8,15,3,112,4,26,41,34,1,84,30/04/2015
Durham,0,103,12,27,2,117,16,47,26,47,5,70,30/04/2015
Dyfed Powys,0,72,3,7,1,43,2,29,86,35,0,50,30/04/2015
Essex,1,280,38,28,5,159,20,65,57,70,45,193,30/04/2015
Gloucestershire,0,56,4,11,3,58,3,16,17,27,22,46,30/04/2015
GreaterManchester,2,644,65,101,48,466,48,126,180,240,62,433,30/04/2015
Gwent,0,98,5,19,2,106,7,45,47,73,12,85,30/04/2015
Hampshire,5,319,43,28,5,214,27,54,78,69,16,248,30/04/2015
Hertfordshire,0,135,6,9,5,154,12,27,40,48,28,88,30/04/2015
Humberside,1,154,29,24,9,222,12,50,73,80,34,139,30/04/2015
Kent,4,257,27,25,9,241,17,67,70,68,67,180,30/04/2015
Lancashire,1,290,25,45,26,218,16,77,84,109,96,234,30/04/2015
Leicestershire,1,149,18,22,9,147,15,26,46,64,22,120,30/04/2015
Lincolnshire,2,105,12,20,1,125,6,26,44,34,29,144,30/04/2015
Merseyside,2,308,18,33,13,260,10,66,227,59,109,192,30/04/2015
Norfolk,0,183,6,13,2,133,19,46,48,99,18,125,30/04/2015
Northamptonshire,0,122,3,4,6,123,7,28,37,42,15,117,30/04/2015
Northumbria,1,273,27,38,8,479,15,105,93,210,54,199,30/04/2015
North Wales,0,130,8,25,1,143,3,35,41,70,19,119,30/04/2015
North Yorkshire,2,121,6,12,7,149,9,39,43,79,9,113,30/04/2015
Nottinghamshire,0,200,13,21,5,183,29,58,103,74,41,120,30/04/2015
South Wales,1,303,26,38,5,284,11,80,150,179,22,662,30/04/2015
South Yorkshire,0,237,9,27,9,303,25,61,120,98,36,169,30/04/2015
Staffordshire,4,151,17,22,5,171,9,39,59,59,31,163,30/04/2015
Suffolk,0,130,2,4,6,98,5,34,34,44,4,99,30/04/2015
Surrey,0,148,12,18,4,107,32,28,54,54,20,116,30/04/2015
Sussex,0,269,28,36,6,235,11,52,92,63,41,214,30/04/2015
Thames Valley,5,291,40,34,17,282,31,57,127,104,31,231,30/04/2015
Warwickshire,1,78,4,10,2,55,4,10,10,13,21,76,30/04/2015
West Mercia,2,165,17,23,4,139,11,44,57,51,24,152,30/04/2015
West Midlands,4,540,51,58,49,583,26,86,183,129,99,322,30/04/2015
West Yorkshire,2,443,41,77,18,380,25,103,149,120,64,298,30/04/2015
Wiltshire,0,81,6,9,8,75,9,26,30,35,0,73,30/04/2015
Avon and Somerset,5,223,44,30,5,237,18,59,92,82,61,209,31/05/2015
Bedfordshire,1,98,6,12,16,86,7,24,30,47,17,65,31/05/2015
Cambridgeshire,1,105,6,11,11,105,8,27,35,41,7,99,31/05/2015
Cheshire,1,241,25,31,3,213,13,54,111,70,47,180,31/05/2015
Cleveland,1,102,11,20,6,237,20,35,41,95,5,74,31/05/2015
Cumbria,0,77,6,13,0,69,5,23,37,40,57,79,31/05/2015
Derbyshire,1,147,18,11,2,125,14,39,69,69,17,109,31/05/2015
Devon and Cornwall,2,181,10,23,5,134,11,50,80,65,68,169,31/05/2015
Dorset,0,97,8,12,0,87,6,25,45,42,4,85,31/05/2015
Durham,0,122,10,15,2,125,3,39,16,54,12,77,31/05/2015
Dyfed Powys,0,57,4,8,0,44,2,25,59,25,2,51,31/05/2015
Essex,0,280,43,12,8,178,15,47,88,32,47,163,31/05/2015
Gloucestershire,0,70,1,16,0,93,6,18,17,13,14,51,31/05/2015
GreaterManchester,1,619,41,64,24,393,28,133,161,257,67,360,31/05/2015
Gwent,0,100,6,18,9,80,3,36,46,51,5,55,31/05/2015
Hampshire,1,324,33,25,12,245,21,77,102,83,13,246,31/05/2015
Hertfordshire,1,151,6,25,4,190,17,36,51,62,26,107,31/05/2015
Humberside,1,131,13,36,2,179,4,45,61,88,23,121,31/05/2015
Kent,1,225,18,40,5,242,27,51,90,53,52,155,31/05/2015
Lancashire,1,272,28,51,12,297,14,74,111,118,109,220,31/05/2015
Leicestershire,1,129,5,20,4,123,9,23,24,20,13,130,31/05/2015
Lincolnshire,1,84,12,16,2,102,2,27,40,46,13,123,31/05/2015
Merseyside,3,378,35,27,15,293,27,93,221,114,72,198,31/05/2015
Norfolk,1,176,6,18,5,140,4,43,55,82,16,100,31/05/2015
Northamptonshire,0,116,7,12,2,93,3,34,30,40,17,122,31/05/2015
Northumbria,0,265,19,51,8,523,14,101,84,209,60,209,31/05/2015
North Wales,0,175,11,11,4,125,7,36,44,81,15,98,31/05/2015
North Yorkshire,3,105,4,23,2,148,11,23,39,55,14,110,31/05/2015
Nottinghamshire,0,247,15,26,7,230,11,60,117,85,36,182,31/05/2015
South Wales,1,270,27,54,9,304,12,60,132,174,8,599,31/05/2015
South Yorkshire,5,217,13,32,11,272,19,68,94,63,42,146,31/05/2015
Staffordshire,0,158,18,27,12,155,9,35,85,47,29,138,31/05/2015
Suffolk,2,150,6,5,0,78,2,26,32,52,12,88,31/05/2015
Surrey,0,136,13,26,4,95,21,20,55,36,24,133,31/05/2015
Sussex,0,244,30,26,21,256,14,49,84,73,39,195,31/05/2015
Thames Valley,3,265,32,26,10,279,29,61,98,104,33,242,31/05/2015
Warwickshire,1,42,7,12,2,69,2,9,19,19,19,70,31/05/2015
West Mercia,2,197,18,19,3,133,10,49,51,45,21,154,31/05/2015
West Midlands,3,474,29,62,46,539,18,100,173,114,130,298,31/05/2015
West Yorkshire,4,424,46,67,24,396,23,99,150,128,49,304,31/05/2015
Wiltshire,0,91,6,8,2,71,6,24,24,29,4,75,31/05/2015
Avon and Somerset,6,267,39,25,11,278,17,67,112,93,40,225,30/06/2015
Bedfordshire,1,81,5,17,13,85,10,33,37,34,16,83,30/06/2015
Cambridgeshire,0,96,6,21,5,52,10,23,29,13,15,81,30/06/2015
Cheshire,0,201,18,14,3,156,13,39,84,55,32,157,30/06/2015
Cleveland,1,109,19,39,5,297,10,46,66,103,14,84,30/06/2015
Cumbria,0,92,9,10,2,93,7,31,52,36,34,81,30/06/2015
Derbyshire,0,215,11,28,5,211,20,41,92,101,17,125,30/06/2015
Devon and Cornwall,0,190,4,19,8,173,6,45,77,47,58,200,30/06/2015
Dorset,1,123,13,21,1,111,8,15,47,44,8,84,30/06/2015
Durham,0,114,8,35,3,129,5,41,22,70,15,75,30/06/2015
Dyfed Powys,0,101,9,5,1,51,3,22,78,44,5,67,30/06/2015
Essex,2,249,37,23,11,158,12,56,67,38,28,195,30/06/2015
Gloucestershire,0,87,6,9,1,64,4,16,24,15,15,58,30/06/2015
GreaterManchester,2,705,59,83,30,495,48,185,169,196,93,477,30/06/2015
Gwent,3,145,8,14,6,106,4,32,51,52,9,67,30/06/2015
Hampshire,2,320,38,28,25,236,15,58,79,108,24,225,30/06/2015
Hertfordshire,1,181,6,29,8,191,20,42,86,52,30,189,30/06/2015
Humberside,0,206,26,23,8,203,11,34,60,87,30,126,30/06/2015
Kent,2,302,22,50,14,280,24,54,87,72,46,258,30/06/2015
Lancashire,0,272,38,50,11,296,20,85,123,173,103,300,30/06/2015
Leicestershire,1,167,6,15,2,121,5,36,47,37,11,127,30/06/2015
Lincolnshire,0,114,7,12,2,140,5,32,46,68,10,141,30/06/2015
Merseyside,6,303,30,19,5,218,17,49,167,88,50,165,30/06/2015
Norfolk,0,171,6,17,5,155,4,47,35,111,14,120,30/06/2015
Northamptonshire,0,128,13,14,6,130,6,22,56,40,9,109,30/06/2015
Northumbria,4,303,24,60,10,462,27,110,134,262,56,208,30/06/2015
North Wales,1,198,16,16,1,140,4,36,48,45,10,88,30/06/2015
North Yorkshire,2,138,3,16,1,140,14,33,47,63,21,135,30/06/2015
Nottinghamshire,4,241,18,39,8,253,14,51,112,113,60,166,30/06/2015
South Wales,1,346,27,52,13,323,25,86,156,153,19,643,30/06/2015
South Yorkshire,4,261,6,53,8,397,30,74,120,97,28,170,30/06/2015
Staffordshire,0,172,15,24,5,167,10,54,85,62,34,169,30/06/2015
Suffolk,0,134,2,9,9,98,4,31,49,59,15,115,30/06/2015
Surrey,0,150,15,13,4,116,13,14,71,35,16,128,30/06/2015
Sussex,1,277,31,27,6,238,22,46,107,72,28,240,30/06/2015
Thames Valley,1,348,52,41,8,336,34,70,160,117,59,321,30/06/2015
Warwickshire,0,74,5,9,3,64,1,18,20,22,11,82,30/06/2015
West Mercia,2,181,26,15,7,171,8,45,71,62,27,173,30/06/2015
West Midlands,5,577,60,94,68,662,21,109,196,191,116,378,30/06/2015
West Yorkshire,4,518,72,88,18,380,34,110,173,146,49,305,30/06/2015
Wiltshire,0,105,11,8,1,95,4,28,29,39,5,86,30/06/2015
Avon and Somerset,7,300,52,30,8,246,18,81,121,98,52,196,31/07/2015
Bedfordshire,0,93,4,16,5,89,23,29,32,31,8,72,31/07/2015
Cambridgeshire,0,154,12,12,7,87,7,40,58,19,17,103,31/07/2015
Cheshire,1,262,27,26,3,187,14,62,80,72,22,143,31/07/2015
Cleveland,0,120,10,36,14,243,12,51,41,80,9,68,31/07/2015
Cumbria,0,117,7,16,3,81,14,42,45,16,42,89,31/07/2015
Derbyshire,0,198,26,28,10,141,11,52,71,85,14,110,31/07/2015
Devon and Cornwall,0,185,12,20,0,148,9,61,64,54,71,249,31/07/2015
Dorset,0,149,13,10,2,137,10,26,51,62,4,90,31/07/2015
Durham,1,106,6,19,2,98,8,35,16,57,11,86,31/07/2015
Dyfed Powys,0,95,9,7,0,59,5,27,81,33,3,87,31/07/2015
Essex,4,293,45,37,24,206,34,63,81,49,30,236,31/07/2015
Gloucestershire,0,68,4,11,5,84,3,28,24,15,13,55,31/07/2015
GreaterManchester,2,690,60,73,41,403,37,142,175,275,102,485,31/07/2015
Gwent,2,141,6,13,4,112,6,40,56,40,7,99,31/07/2015
Hampshire,3,323,33,41,2,264,23,57,97,114,13,267,31/07/2015
Hertfordshire,1,176,7,28,15,192,9,19,71,47,25,166,31/07/2015
Humberside,2,180,36,28,1,174,13,44,54,74,19,130,31/07/2015
Kent,1,260,23,58,9,273,29,65,122,75,45,215,31/07/2015
Lancashire,4,323,30,60,12,281,14,97,132,115,118,263,31/07/2015
Leicestershire,2,126,15,6,0,73,7,14,14,27,9,86,31/07/2015
Lincolnshire,2,112,8,20,0,143,6,37,28,73,9,145,31/07/2015
Merseyside,4,347,21,26,12,219,19,67,219,118,34,218,31/07/2015
Norfolk,0,174,8,17,5,126,4,44,53,92,17,116,31/07/2015
Northamptonshire,0,79,10,8,1,71,5,18,26,31,4,99,31/07/2015
Northumbria,1,306,19,62,11,441,18,125,98,226,50,281,31/07/2015
North Wales,3,178,12,23,0,146,17,48,46,58,10,118,31/07/2015
North Yorkshire,1,123,12,19,1,141,12,37,59,98,15,127,31/07/2015
Nottinghamshire,3,274,15,39,7,226,20,53,102,94,41,158,31/07/2015
South Wales,2,396,28,51,9,313,14,64,221,170,16,720,31/07/2015
South Yorkshire,2,262,5,38,11,317,19,58,116,100,30,165,31/07/2015
Staffordshire,2,195,23,35,3,181,8,45,73,56,55,153,31/07/2015
Suffolk,0,124,5,10,1,78,7,26,37,36,7,90,31/07/2015
Surrey,0,195,11,10,4,84,11,14,55,43,18,168,31/07/2015
Sussex,0,276,39,24,7,206,18,51,94,91,25,258,31/07/2015
Thames Valley,2,373,48,26,9,313,31,64,145,147,37,276,31/07/2015
Warwickshire,1,92,5,5,3,71,5,14,21,17,17,66,31/07/2015
West Mercia,1,230,29,21,0,199,9,46,61,53,29,188,31/07/2015
West Midlands,4,674,55,75,45,648,37,115,231,202,130,406,31/07/2015
West Yorkshire,4,455,36,75,27,392,23,105,118,164,62,337,31/07/2015
Wiltshire,0,109,11,10,2,98,9,24,19,39,5,69,31/07/2015
Avon and Somerset,3,320,40,41,12,234,21,66,118,88,44,183,31/08/2015
Bedfordshire,1,58,5,9,5,58,4,14,13,16,9,53,31/08/2015
Cambridgeshire,0,89,5,11,3,60,6,31,29,20,16,84,31/08/2015
Cheshire,0,188,20,22,4,151,6,49,72,70,13,133,31/08/2015
Cleveland,0,87,13,34,5,261,22,45,46,81,19,78,31/08/2015
Cumbria,0,83,7,4,0,77,5,27,39,57,24,69,31/08/2015
Derbyshire,1,212,13,17,9,152,9,32,60,52,30,127,31/08/2015
Devon and Cornwall,1,192,17,46,7,146,27,55,95,63,82,194,31/08/2015
Dorset,0,140,7,8,1,95,6,19,24,31,2,74,31/08/2015
Durham,0,100,10,18,0,138,7,31,30,58,8,102,31/08/2015
Dyfed Powys,0,68,5,5,1,40,6,17,66,24,2,61,31/08/2015
Essex,1,242,26,14,5,182,16,56,61,33,24,187,31/08/2015
Gloucestershire,1,99,4,6,2,58,3,19,31,12,7,60,31/08/2015
GreaterManchester,0,558,47,53,21,368,23,162,152,224,111,372,31/08/2015
Gwent,1,129,7,15,2,80,2,30,39,52,5,45,31/08/2015
Hampshire,4,283,35,48,9,221,29,57,88,74,13,240,31/08/2015
Hertfordshire,0,107,6,17,3,103,6,21,32,29,8,96,31/08/2015
Humberside,1,163,29,24,3,187,4,43,61,76,7,127,31/08/2015
Kent,4,234,30,35,8,251,26,49,111,61,43,188,31/08/2015
Lancashire,3,281,35,55,9,237,21,79,92,121,58,218,31/08/2015
Leicestershire,1,173,14,28,2,143,11,37,43,45,12,162,31/08/2015
Lincolnshire,0,109,12,16,3,122,5,21,40,41,25,122,31/08/2015
Merseyside,1,259,25,22,10,182,16,45,180,86,10,120,31/08/2015
Norfolk,0,177,5,14,3,119,10,46,51,79,24,117,31/08/2015
Northamptonshire,1,157,15,13,6,156,7,36,58,34,12,154,31/08/2015
Northumbria,2,362,25,42,8,435,18,134,114,194,34,251,31/08/2015
North Wales,0,171,14,21,2,127,10,37,45,53,8,110,31/08/2015
North Yorkshire,0,106,7,15,3,124,7,36,40,71,18,107,31/08/2015
Nottinghamshire,0,277,17,24,16,257,20,73,120,78,56,179,31/08/2015
South Wales,0,354,22,47,10,248,22,60,122,138,19,621,31/08/2015
South Yorkshire,1,208,9,60,10,237,12,71,92,100,23,158,31/08/2015
Staffordshire,0,160,21,25,1,128,8,42,73,45,38,144,31/08/2015
Suffolk,0,115,6,7,2,93,4,25,51,47,22,83,31/08/2015
Surrey,0,140,10,11,5,74,8,15,42,53,11,109,31/08/2015
Sussex,0,240,25,25,5,194,20,36,81,73,26,186,31/08/2015
Thames Valley,2,326,36,42,7,283,13,56,148,117,30,210,31/08/2015
Warwickshire,0,67,10,5,0,64,3,20,19,14,16,58,31/08/2015
West Mercia,2,181,15,19,11,150,4,35,55,44,17,150,31/08/2015
West Midlands,2,561,57,74,31,548,59,97,193,188,140,344,31/08/2015
West Yorkshire,5,396,65,61,13,301,40,107,115,157,51,279,31/08/2015
Wiltshire,0,91,7,8,1,95,3,22,28,41,6,62,31/08/2015
Avon and Somerset,0,277,42,29,12,240,12,90,74,41,84,237,30/09/2015
Bedfordshire,2,102,6,15,5,80,10,30,37,40,4,93,30/09/2015
Cambridgeshire,0,120,6,17,16,50,11,27,33,21,4,91,30/09/2015
Cheshire,0,288,26,27,5,200,15,55,74,110,22,194,30/09/2015
Cleveland,0,127,15,40,10,303,10,49,56,97,18,85,30/09/2015
Cumbria,0,79,7,7,3,97,8,27,43,47,16,80,30/09/2015
Derbyshire,0,205,17,16,7,130,9,44,59,68,20,126,30/09/2015
Devon and Cornwall,0,148,6,26,6,130,15,50,62,51,81,189,30/09/2015
Dorset,1,144,8,12,1,113,6,35,39,27,21,123,30/09/2015
Durham,0,120,10,29,2,153,4,46,23,58,14,94,30/09/2015
Dyfed Powys,2,77,7,5,2,47,2,13,67,47,10,61,30/09/2015
Essex,2,322,29,29,7,182,8,66,85,70,13,291,30/09/2015
Gloucestershire,0,107,5,12,4,95,7,30,22,13,12,77,30/09/2015
GreaterManchester,2,679,67,90,39,388,47,159,199,211,85,414,30/09/2015
Gwent,0,124,7,14,0,85,13,17,57,44,6,67,30/09/2015
Hampshire,1,277,39,41,3,232,13,54,122,104,56,249,30/09/2015
Hertfordshire,1,227,6,22,6,209,27,46,71,57,10,178,30/09/2015
Humberside,0,186,28,34,4,181,14,40,53,76,10,124,30/09/2015
Kent,3,302,35,42,8,258,21,46,104,55,41,212,30/09/2015
Lancashire,3,244,20,55,7,270,17,100,92,130,70,259,30/09/2015
Leicestershire,3,145,14,27,2,139,11,23,40,36,13,126,30/09/2015
Lincolnshire,2,121,14,21,5,122,2,24,38,55,20,141,30/09/2015
Merseyside,2,411,23,29,6,262,10,80,247,140,52,216,30/09/2015
Norfolk,0,231,10,22,3,120,5,32,56,85,10,137,30/09/2015
Northamptonshire,0,145,14,14,4,115,9,28,33,27,12,116,30/09/2015
Northumbria,0,293,25,51,9,428,27,114,76,192,35,226,30/09/2015
North Wales,2,155,11,17,6,159,9,42,46,65,10,113,30/09/2015
North Yorkshire,1,139,8,20,0,140,9,45,51,81,13,145,30/09/2015
Nottinghamshire,5,216,15,21,19,268,20,54,122,77,46,169,30/09/2015
South Wales,3,391,36,56,12,264,15,63,162,143,11,602,30/09/2015
South Yorkshire,1,207,9,45,6,333,28,82,104,102,30,163,30/09/2015
Staffordshire,2,220,29,24,9,165,12,64,66,42,40,193,30/09/2015
Suffolk,1,131,10,6,2,73,7,12,33,48,12,84,30/09/2015
Surrey,1,125,8,11,5,88,3,34,44,31,15,138,30/09/2015
Sussex,2,242,32,32,7,195,11,44,92,67,25,203,30/09/2015
Thames Valley,3,452,52,45,17,339,29,59,167,131,32,325,30/09/2015
Warwickshire,0,63,11,14,4,73,1,18,18,18,11,69,30/09/2015
West Mercia,1,249,31,25,1,160,5,45,55,51,32,166,30/09/2015
West Midlands,2,607,52,66,53,650,95,119,185,233,137,387,30/09/2015
West Yorkshire,5,497,48,60,24,330,22,114,127,181,82,335,30/09/2015
Wiltshire,1,120,4,8,5,80,3,26,48,32,2,62,30/09/2015
Avon and Somerset,5,354,55,38,5,240,20,56,118,88,12,205,31/10/2015
Bedfordshire,2,97,4,16,9,66,9,16,27,26,5,77,31/10/2015
Cambridgeshire,2,117,2,18,1,96,10,27,30,29,14,123,31/10/2015
Cheshire,0,263,13,20,3,187,10,48,79,66,22,203,31/10/2015
Cleveland,0,149,14,44,4,259,9,41,76,88,5,75,31/10/2015
Cumbria,0,106,6,18,2,80,9,17,40,58,8,102,31/10/2015
Derbyshire,1,231,17,19,4,146,9,52,72,56,12,103,31/10/2015
Devon and Cornwall,1,230,15,39,4,141,22,51,86,68,5,185,31/10/2015
Dorset,1,161,9,23,2,99,8,35,41,63,2,104,31/10/2015
Durham,0,135,12,32,3,146,5,39,25,48,8,111,31/10/2015
Dyfed Powys,1,91,6,9,2,47,9,36,77,38,7,63,31/10/2015
Essex,1,376,39,37,8,187,22,44,82,56,19,251,31/10/2015
Gloucestershire,0,74,6,12,2,86,12,16,26,22,1,65,31/10/2015
GreaterManchester,1,629,65,59,28,336,32,94,163,156,21,392,31/10/2015
Gwent,0,121,8,11,2,79,3,22,31,37,3,51,31/10/2015
Hampshire,2,291,34,46,6,251,14,75,101,127,20,291,31/10/2015
Hertfordshire,0,119,4,26,2,104,13,22,60,26,0,81,31/10/2015
Humberside,0,178,22,23,1,180,15,41,61,71,6,132,31/10/2015
Kent,2,290,28,43,6,181,47,44,76,58,22,198,31/10/2015
Lancashire,1,337,28,74,15,280,24,66,108,171,23,243,31/10/2015
Leicestershire,1,161,15,30,8,119,18,26,53,39,7,131,31/10/2015
Lincolnshire,1,152,15,21,1,138,2,38,46,55,12,149,31/10/2015
Merseyside,0,307,16,33,10,170,10,48,128,92,29,215,31/10/2015
Norfolk,1,233,11,17,8,140,7,37,85,91,15,120,31/10/2015
Northamptonshire,3,133,6,13,2,93,8,22,46,29,6,123,31/10/2015
Northumbria,1,348,33,42,17,458,27,92,105,212,26,248,31/10/2015
North Wales,2,205,19,31,6,151,14,42,29,53,8,103,31/10/2015
North Yorkshire,2,129,8,19,2,113,12,26,34,43,13,101,31/10/2015
Nottinghamshire,6,333,24,37,8,282,26,64,138,110,25,170,31/10/2015
South Wales,0,335,19,46,17,218,26,52,142,119,14,591,31/10/2015
South Yorkshire,1,215,11,56,13,269,26,78,99,110,18,183,31/10/2015
Staffordshire,3,196,10,28,2,153,13,44,83,65,17,185,31/10/2015
Suffolk,1,172,11,16,0,77,9,28,49,31,10,99,31/10/2015
Surrey,0,144,9,29,2,87,8,14,56,32,5,117,31/10/2015
Sussex,0,308,31,35,8,179,20,61,91,65,9,233,31/10/2015
Thames Valley,9,394,38,46,8,242,25,47,147,76,21,215,31/10/2015
Warwickshire,0,83,8,10,8,54,6,15,27,26,7,80,31/10/2015
West Mercia,2,231,23,22,3,125,13,31,61,75,8,144,31/10/2015
West Midlands,6,736,47,83,43,660,74,121,253,228,60,377,31/10/2015
West Yorkshire,2,504,50,64,10,348,24,104,122,129,30,294,31/10/2015
Wiltshire,3,132,5,12,0,91,6,26,29,41,4,75,31/10/2015
Avon and Somerset,1,190,32,27,5,135,18,30,52,60,5,175,31/12/2015
Bedfordshire,0,29,4,3,3,13,1,3,8,3,2,1,31/12/2015
Cambridgeshire,2,103,9,19,3,54,9,23,35,31,5,72,31/12/2015
Cheshire,3,200,29,20,4,171,19,52,77,99,14,167,31/12/2015
Cleveland,1,131,5,15,3,266,6,40,62,57,7,81,31/12/2015
Cumbria,0,93,7,4,3,69,4,25,27,38,6,89,31/12/2015
Derbyshire,3,206,26,18,7,127,15,43,59,30,9,98,31/12/2015
Devon and Cornwall,0,228,13,28,0,114,13,36,59,68,8,172,31/12/2015
Dorset,2,120,9,23,1,104,4,16,42,38,3,64,31/12/2015
Durham,0,143,5,24,4,106,14,30,35,32,8,80,31/12/2015
Dyfed Powys,1,71,4,7,0,33,3,13,50,30,3,72,31/12/2015
Essex,1,263,36,31,7,205,11,58,58,51,7,219,31/12/2015
Gloucestershire,0,67,1,15,1,69,4,10,20,13,2,52,31/12/2015
GreaterManchester,3,662,88,78,30,319,33,89,134,180,31,328,31/12/2015
Gwent,0,99,7,13,2,59,8,24,50,28,3,57,31/12/2015
Hampshire,6,291,32,45,15,200,25,49,68,65,14,235,31/12/2015
Hertfordshire,1,40,11,5,3,36,6,4,16,2,2,8,31/12/2015
Humberside,2,163,29,30,11,168,4,45,57,55,5,100,31/12/2015
Kent,3,267,26,43,11,174,22,44,88,50,14,142,31/12/2015
Lancashire,1,255,5,56,23,199,9,64,109,109,8,215,31/12/2015
Leicestershire,2,167,15,11,6,121,14,33,51,40,6,121,31/12/2015
Lincolnshire,1,115,16,20,3,87,6,26,18,46,1,97,31/12/2015
Merseyside,3,281,32,21,15,226,29,64,175,82,37,193,31/12/2015
Norfolk,0,214,6,22,1,85,11,32,60,71,15,94,31/12/2015
Northamptonshire,0,142,10,10,3,90,12,24,36,34,9,105,31/12/2015
